,job,job_status,unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown,y
91,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
92,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
93,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
94,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
95,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
96,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
97,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
98,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
99,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
100,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
101,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
102,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
103,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
104,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
105,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
106,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
107,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
108,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
109,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
110,student,9,0,0,0,0,0,0,0,0,1,0,0,0,1
111,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
112,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
113,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
114,student,9,0,0,0,0,0,0,0,0,1,0,0,0,1
115,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
116,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
117,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
118,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
119,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
120,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
121,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
122,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
123,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
124,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
125,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,1
126,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
127,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
128,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
129,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
130,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
131,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
132,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
133,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
134,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
135,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
136,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
137,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
138,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
139,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
140,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
141,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
142,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
143,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
144,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
145,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
146,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
147,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
148,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
149,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
150,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
151,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
152,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
153,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
154,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
155,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
156,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
157,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
158,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
159,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
160,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
161,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
162,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
163,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
164,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
165,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
166,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
167,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
168,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
169,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
170,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
171,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
172,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
173,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
174,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
175,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
176,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
177,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
178,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
179,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
180,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
181,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
182,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
183,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
184,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
185,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
186,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
187,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
188,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
189,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
190,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
191,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
192,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
193,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
194,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
195,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
196,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
197,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
198,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
199,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
200,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
201,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
202,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
203,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
204,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
205,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
206,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
207,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
208,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
209,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
210,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
211,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
212,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
213,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
214,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
215,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
216,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
217,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
218,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
219,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
220,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
221,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
222,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
223,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
224,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
225,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
226,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
227,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
228,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
229,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
230,unknown,12,0,0,0,0,0,0,0,0,0,0,0,1,0
231,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
232,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
233,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
234,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
235,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
236,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
237,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
238,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
239,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
240,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
241,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
242,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
243,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
244,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
245,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
246,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
247,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
248,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
249,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
250,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
251,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
252,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
253,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
254,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
255,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
256,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
257,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
258,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
259,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
260,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
261,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
262,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
263,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
264,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
265,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
266,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
267,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
268,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
269,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
270,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
271,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
272,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
273,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
274,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
275,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
276,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
277,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
278,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
279,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
280,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
281,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
282,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
283,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
284,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
285,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
286,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
287,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
288,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
289,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
290,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
291,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
292,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
293,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
294,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
295,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,1
296,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
297,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
298,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,1
299,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
300,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
301,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
302,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
303,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
304,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
305,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
306,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,1
307,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
308,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
309,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
310,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
311,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
312,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
313,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
314,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
315,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
316,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
317,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
318,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,1
319,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
320,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
321,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
322,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
323,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
324,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
325,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
326,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,0
327,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,1
328,unemployed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
329,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
330,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
331,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
332,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
333,services,2,0,1,0,0,0,0,0,0,0,0,0,0,1
334,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
335,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
336,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
337,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
338,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
339,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
340,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
341,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
342,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
343,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
344,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
345,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
346,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
347,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
348,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
349,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
350,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
351,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
352,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
353,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
354,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
355,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
356,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
357,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
358,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
359,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
360,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
361,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
362,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
363,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
364,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
365,student,9,0,0,0,0,0,0,0,0,1,0,0,0,0
366,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
367,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
368,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,1
369,entrepreneur,7,0,0,0,0,0,0,1,0,0,0,0,0,0
370,housemaid,10,0,0,0,0,0,0,0,0,0,1,0,0,0
371,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
372,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
373,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
374,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
375,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
376,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
377,management,3,0,0,1,0,0,0,0,0,0,0,0,0,1
378,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
379,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
380,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
381,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
382,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,1
383,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
384,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
385,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
386,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
387,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
388,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
389,services,2,0,1,0,0,0,0,0,0,0,0,0,0,0
390,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
391,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
392,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
393,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
394,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
395,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
396,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,0
397,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
398,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
399,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
400,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
401,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,1
402,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
403,retired,11,0,0,0,0,0,0,0,0,0,0,1,0,0
404,blue-collar,4,0,0,0,1,0,0,0,0,0,0,0,0,0
405,self-employed,5,0,0,0,0,1,0,0,0,0,0,0,0,0
406,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
407,technician,6,0,0,0,0,0,1,0,0,0,0,0,0,0
408,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
409,admin.,8,0,0,0,0,0,0,0,1,0,0,0,0,1
410,management,3,0,0,1,0,0,0,0,0,0,0,0,0,0
