,Unnamed: 0,age,job,education,contact,day,month,duration,y,unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown,primary,secondary,tertiary,date,age_range,Young,Middle-aged,Senior,cellular,telephone
53,53,34,technician,tertiary,cellular,15,6,441,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-06-15,Middle-aged,0,1,0,1,0
54,54,53,blue-collar,secondary,cellular,14,7,272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-07-14,Senior,0,0,1,1,0
55,55,48,admin.,secondary,telephone,15,7,159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-07-15,Middle-aged,0,1,0,0,1
56,56,57,management,secondary,telephone,4,2,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2023-02-04,Senior,0,0,1,0,1
57,57,33,self-employed,tertiary,cellular,17,11,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-11-17,Middle-aged,0,1,0,1,0
58,58,36,retired,secondary,unknown,26,5,314,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2023-05-26,Middle-aged,0,1,0,0,0
59,59,54,technician,secondary,unknown,15,5,579,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2023-05-15,Senior,0,0,1,0,0
60,60,41,blue-collar,primary,telephone,8,7,554,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-07-08,Middle-aged,0,1,0,0,1
61,61,63,retired,secondary,cellular,7,10,323,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2023-10-07,Senior,0,0,1,1,0
62,62,48,management,tertiary,cellular,13,8,227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-13,Middle-aged,0,1,0,1,0
63,63,48,services,secondary,cellular,4,7,134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-04,Middle-aged,0,1,0,1,0
64,64,56,admin.,secondary,cellular,7,10,223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-10-07,Senior,0,0,1,1,0
65,65,51,blue-collar,secondary,cellular,8,5,134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-05-08,Senior,0,0,1,1,0
66,66,31,services,secondary,cellular,28,1,155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-01-28,Middle-aged,0,1,0,1,0
67,67,29,technician,secondary,cellular,21,7,130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-07-21,Middle-aged,0,1,0,1,0
68,68,41,management,secondary,cellular,7,7,630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-07,Middle-aged,0,1,0,1,0
69,69,32,technician,tertiary,cellular,19,11,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-11-19,Middle-aged,0,1,0,1,0
70,70,37,management,tertiary,cellular,16,7,268,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-16,Middle-aged,0,1,0,1,0
71,71,42,entrepreneur,tertiary,unknown,5,5,380,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2023-05-05,Middle-aged,0,1,0,0,0
72,72,31,management,tertiary,unknown,9,5,154,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2023-05-09,Middle-aged,0,1,0,0,0
73,73,41,services,tertiary,unknown,3,6,154,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2023-06-03,Middle-aged,0,1,0,0,0
74,74,56,retired,secondary,unknown,15,5,221,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2023-05-15,Senior,0,0,1,0,0
75,75,54,management,tertiary,cellular,14,8,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-14,Senior,0,0,1,1,0
76,76,41,blue-collar,secondary,cellular,14,5,367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-05-14,Middle-aged,0,1,0,1,0
77,77,40,technician,secondary,cellular,14,8,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-14,Middle-aged,0,1,0,1,0
78,78,50,blue-collar,primary,cellular,5,2,701,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-02-05,Middle-aged,0,1,0,1,0
79,79,40,unemployed,secondary,cellular,17,11,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-11-17,Middle-aged,0,1,0,1,0
80,80,27,admin.,secondary,cellular,16,7,652,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-07-16,Middle-aged,0,1,0,1,0
81,81,60,retired,primary,cellular,26,8,63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2023-08-26,Senior,0,0,1,1,0
82,82,28,admin.,secondary,cellular,6,5,150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-05-06,Middle-aged,0,1,0,1,0
83,83,52,services,secondary,telephone,7,7,398,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-07,Senior,0,0,1,0,1
84,84,37,management,tertiary,cellular,30,6,224,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-06-30,Middle-aged,0,1,0,1,0
85,85,51,blue-collar,primary,unknown,7,5,406,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-07,Senior,0,0,1,0,0
86,86,41,technician,secondary,cellular,7,7,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-07-07,Middle-aged,0,1,0,1,0
87,87,35,blue-collar,primary,unknown,30,5,521,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-30,Middle-aged,0,1,0,0,0
88,88,38,admin.,secondary,cellular,17,4,279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-04-17,Middle-aged,0,1,0,1,0
89,89,34,blue-collar,secondary,unknown,20,5,203,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2023-05-20,Middle-aged,0,1,0,0,0
90,90,39,blue-collar,primary,cellular,18,11,201,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-11-18,Middle-aged,0,1,0,1,0
91,91,34,blue-collar,primary,unknown,20,6,372,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-06-20,Middle-aged,0,1,0,0,0
92,92,27,services,secondary,cellular,18,5,391,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-05-18,Middle-aged,0,1,0,1,0
93,93,32,management,tertiary,cellular,14,8,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-14,Middle-aged,0,1,0,1,0
94,94,57,blue-collar,secondary,cellular,11,8,231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-08-11,Senior,0,0,1,1,0
95,95,41,unknown,tertiary,cellular,1,7,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-01,Middle-aged,0,1,0,1,0
96,96,41,admin.,tertiary,unknown,14,5,149,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2023-05-14,Middle-aged,0,1,0,0,0
97,97,30,admin.,tertiary,cellular,19,10,233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023-10-19,Middle-aged,0,1,0,1,0
98,98,36,blue-collar,secondary,cellular,12,2,473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-02-12,Middle-aged,0,1,0,1,0
99,99,31,unemployed,primary,cellular,4,2,736,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-02-04,Middle-aged,0,1,0,1,0
100,100,36,blue-collar,secondary,unknown,6,5,337,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2023-05-06,Middle-aged,0,1,0,0,0
101,101,38,management,tertiary,cellular,11,5,553,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-05-11,Middle-aged,0,1,0,1,0
102,102,49,technician,secondary,telephone,21,11,345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-11-21,Middle-aged,0,1,0,0,1
103,103,57,services,primary,telephone,13,5,65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-05-13,Senior,0,0,1,0,1
104,104,34,management,secondary,unknown,13,8,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2023-08-13,Middle-aged,0,1,0,0,0
105,105,32,management,tertiary,cellular,14,4,259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-14,Middle-aged,0,1,0,1,0
106,106,37,blue-collar,secondary,unknown,9,6,371,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2023-06-09,Middle-aged,0,1,0,0,0
107,107,33,self-employed,tertiary,cellular,3,2,280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-02-03,Middle-aged,0,1,0,1,0
108,108,56,unemployed,primary,cellular,21,4,243,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-04-21,Senior,0,0,1,1,0
109,109,27,housemaid,primary,cellular,23,7,435,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2023-07-23,Middle-aged,0,1,0,1,0
110,110,21,student,secondary,cellular,30,6,258,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2023-06-30,Young,1,0,0,1,0
111,111,58,management,tertiary,telephone,29,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-29,Senior,0,0,1,0,1
112,112,32,self-employed,secondary,cellular,15,7,317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-07-15,Middle-aged,0,1,0,1,0
113,113,33,blue-collar,secondary,cellular,30,1,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-01-30,Middle-aged,0,1,0,1,0
114,114,25,student,secondary,telephone,26,8,170,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2023-08-26,Young,1,0,0,0,1
115,115,25,technician,secondary,cellular,17,11,386,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-11-17,Young,1,0,0,1,0
116,116,30,services,secondary,cellular,18,5,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-05-18,Middle-aged,0,1,0,1,0
117,117,22,admin.,secondary,cellular,19,8,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-08-19,Young,1,0,0,1,0
118,118,39,blue-collar,primary,cellular,13,8,69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-08-13,Middle-aged,0,1,0,1,0
119,119,46,management,tertiary,unknown,17,6,564,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2023-06-17,Middle-aged,0,1,0,0,0
120,120,31,admin.,secondary,cellular,21,7,588,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-07-21,Middle-aged,0,1,0,1,0
121,121,45,blue-collar,primary,cellular,18,8,113,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-08-18,Middle-aged,0,1,0,1,0
122,122,32,technician,secondary,unknown,21,5,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2023-05-21,Middle-aged,0,1,0,0,0
123,123,36,blue-collar,secondary,cellular,15,7,779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-07-15,Middle-aged,0,1,0,1,0
124,124,51,management,tertiary,cellular,11,5,281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-05-11,Senior,0,0,1,1,0
125,125,34,self-employed,tertiary,cellular,21,8,1877,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-08-21,Middle-aged,0,1,0,1,0
126,126,24,unemployed,secondary,unknown,15,9,51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2023-09-15,Young,1,0,0,0,0
127,127,45,technician,secondary,cellular,28,7,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-07-28,Middle-aged,0,1,0,1,0
128,128,32,blue-collar,secondary,telephone,5,2,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-02-05,Middle-aged,0,1,0,0,1
129,129,77,retired,tertiary,cellular,14,4,161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2023-04-14,Senior,0,0,1,1,0
130,130,41,blue-collar,primary,cellular,18,11,187,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-11-18,Middle-aged,0,1,0,1,0
131,131,37,blue-collar,primary,unknown,26,5,24,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-05-26,Middle-aged,0,1,0,0,0
132,132,43,blue-collar,unknown,unknown,30,5,67,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2023-05-30,Middle-aged,0,1,0,0,0
133,133,48,admin.,unknown,cellular,8,5,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-05-08,Middle-aged,0,1,0,1,0
134,134,27,technician,secondary,unknown,9,5,317,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2023-05-09,Middle-aged,0,1,0,0,0
135,135,33,management,tertiary,cellular,28,8,236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-28,Middle-aged,0,1,0,1,0
136,136,29,admin.,secondary,cellular,7,5,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-05-07,Middle-aged,0,1,0,1,0
137,137,34,management,tertiary,cellular,5,2,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-02-05,Middle-aged,0,1,0,1,0
138,138,52,management,tertiary,cellular,4,2,489,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-02-04,Senior,0,0,1,1,0
139,139,60,management,unknown,unknown,19,6,39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2023-06-19,Senior,0,0,1,0,0
140,140,32,management,tertiary,cellular,12,8,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-12,Middle-aged,0,1,0,1,0
141,141,32,management,tertiary,cellular,22,7,455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-22,Middle-aged,0,1,0,1,0
142,142,56,services,unknown,unknown,30,5,86,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-05-30,Senior,0,0,1,0,0
143,143,31,management,tertiary,cellular,18,11,190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-11-18,Middle-aged,0,1,0,1,0
144,144,42,admin.,secondary,unknown,8,5,280,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2023-05-08,Middle-aged,0,1,0,0,0
145,145,35,management,tertiary,cellular,11,8,588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-11,Middle-aged,0,1,0,1,0
146,146,56,retired,primary,unknown,19,6,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2023-06-19,Senior,0,0,1,0,0
147,147,48,technician,secondary,cellular,21,7,168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-07-21,Middle-aged,0,1,0,1,0
148,148,46,admin.,secondary,cellular,29,1,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-01-29,Middle-aged,0,1,0,1,0
149,149,37,technician,unknown,unknown,8,5,103,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2023-05-08,Middle-aged,0,1,0,0,0
150,150,41,entrepreneur,unknown,unknown,6,5,333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2023-05-06,Middle-aged,0,1,0,0,0
151,151,36,management,tertiary,cellular,29,7,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-29,Middle-aged,0,1,0,1,0
152,152,45,unemployed,primary,unknown,1,7,92,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023-07-01,Middle-aged,0,1,0,0,0
153,153,55,entrepreneur,secondary,cellular,6,2,213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2023-02-06,Senior,0,0,1,1,0
154,154,39,technician,secondary,unknown,26,5,289,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2023-05-26,Middle-aged,0,1,0,0,0
155,155,35,technician,secondary,cellular,22,8,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-08-22,Middle-aged,0,1,0,1,0
156,156,55,admin.,secondary,cellular,1,6,324,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-06-01,Senior,0,0,1,1,0
157,157,55,technician,secondary,cellular,29,1,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-01-29,Senior,0,0,1,1,0
158,158,27,self-employed,secondary,cellular,29,1,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023-01-29,Middle-aged,0,1,0,1,0
159,159,34,technician,secondary,cellular,17,4,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2023-04-17,Middle-aged,0,1,0,1,0
160,160,34,blue-collar,tertiary,unknown,4,10,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2023-10-04,Middle-aged,0,1,0,0,0
161,161,25,admin.,secondary,unknown,28,5,199,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2023-05-28,Young,1,0,0,0,0
162,162,41,admin.,secondary,unknown,9,5,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2023-05-09,Middle-aged,0,1,0,0,0
163,163,43,services,secondary,unknown,26,5,82,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2023-05-26,Middle-aged,0,1,0,0,0
164,164,28,management,tertiary,cellular,20,10,676,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-20,Middle-aged,0,1,0,1,0
165,165,31,admin.,secondary,unknown,3,6,455,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2023-06-03,Middle-aged,0,1,0,0,0
166,166,78,housemaid,secondary,telephone,16,3,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2023-03-16,Senior,0,0,1,0,1
167,167,45,blue-collar,secondary,cellular,29,1,549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-01-29,Middle-aged,0,1,0,1,0
168,168,48,technician,tertiary,unknown,6,5,135,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2023-05-06,Middle-aged,0,1,0,0,0
169,169,32,blue-collar,secondary,cellular,10,7,412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2023-07-10,Middle-aged,0,1,0,1,0
170,170,42,technician,secondary,unknown,20,6,101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2023-06-20,Middle-aged,0,1,0,0,0
171,171,37,management,tertiary,cellular,28,1,253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-28,Middle-aged,0,1,0,1,0
172,172,40,admin.,secondary,cellular,6,4,272,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-04-06,Middle-aged,0,1,0,1,0
173,173,32,admin.,secondary,cellular,17,7,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2023-07-17,Middle-aged,0,1,0,1,0
